raceId,season,raceNumber,prixName,raceDate,driverId,constructorId,driverStartGridPos,driverFinalGridPos,driverFinalRank,driverRacePoints,driverLapCount,driverFatestLapNumber,driverFastestLapTime,driverFastestLapSpeed,constructorRacePoints,driverNumber,driverDateOfBirth,driverNationality,constructorName,constructorNationality,constructorChampionshipStandingPoints,constructorChampionshipStandingPosition,constructorChampionshipStandingWins,driverChampionshipStandingPoints,driverChampionshipStandingPosition,driverChampionshipStandingWins,circuitName,circuitLocation,circuitCountry,driverRaceResultStatus,driverName,driverAge,driverDnf,constructorDnf
1,2009,1,Australian Grand Prix,2009-03-29,18,23,1,1.0,1,10.0,58.0,17.0,1:28.020,216.891,18.0,22.0,1980-01-19,British,Mercedes,British,18.0,1.0,1.0,10.0,1.0,1.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Jenson Button,43.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,22,23,2,2.0,2,8.0,58.0,43.0,1:29.066,214.344,18.0,0.0,1972-05-23,Brazilian,Mercedes,British,18.0,1.0,1.0,8.0,2.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Rubens Barrichello,51.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,15,7,20,3.0,3,6.0,58.0,50.0,1:28.916,214.706,11.0,0.0,1974-07-13,Italian,Toyota,Japanese,11.0,2.0,0.0,6.0,3.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Jarno Trulli,49.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,10,7,19,4.0,4,5.0,58.0,53.0,1:28.416,215.92,11.0,0.0,1982-03-18,German,Toyota,Japanese,11.0,2.0,0.0,5.0,4.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Timo Glock,41.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,4,4,10,5.0,5,4.0,58.0,53.0,1:28.712,215.199,4.0,14.0,1981-07-29,Spanish,Renault,French,4.0,3.0,0.0,4.0,5.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Fernando Alonso,42.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,3,3,5,6.0,6,3.0,58.0,48.0,1:27.706,217.668,3.0,6.0,1985-06-27,German,Williams,British,3.0,4.0,0.0,3.0,6.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Nico Rosberg,38.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,67,5,13,7.0,7,2.0,58.0,34.0,1:29.230,213.95,3.0,0.0,1988-10-31,Swiss,AlphaTauri,Italian,3.0,5.0,0.0,2.0,7.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Sébastien Buemi,34.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,7,5,17,8.0,8,1.0,58.0,50.0,1:29.823,212.537,3.0,0.0,1979-02-28,French,AlphaTauri,Italian,3.0,5.0,0.0,1.0,8.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Sébastien Bourdais,44.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,16,10,16,9.0,9,0.0,58.0,43.0,1:28.943,214.64,0.0,99.0,1983-01-11,German,Racing Point,Indian,0.0,6.0,0.0,0.0,9.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Adrian Sutil,40.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,2,2,9,10.0,10,0.0,58.0,48.0,1:28.283,216.245,0.0,0.0,1977-05-10,German,BMW Sauber,German,0.0,7.0,0.0,0.0,10.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Nick Heidfeld,46.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,21,10,15,11.0,11,0.0,58.0,51.0,1:29.005,214.491,0.0,0.0,1973-01-14,Italian,Racing Point,Indian,0.0,6.0,0.0,0.0,11.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Finished,Giancarlo Fisichella,50.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,17,9,8,12.0,12,0.0,57.0,38.0,1:28.508,215.695,0.0,0.0,1976-08-27,Australian,Red Bull,Austrian,0.0,8.0,0.0,0.0,12.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,+1 Lap,Mark Webber,47.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,20,9,3,13.0,13,0.0,56.0,8.0,1:28.140,216.596,0.0,5.0,1987-07-03,German,Red Bull,Austrian,0.0,8.0,0.0,0.0,13.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Collision,Sebastian Vettel,36.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,9,2,4,14.0,14,0.0,55.0,36.0,1:27.988,216.97,0.0,88.0,1984-12-07,Polish,BMW Sauber,German,0.0,7.0,0.0,0.0,14.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Collision,Robert Kubica,38.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,8,6,7,15.0,15,0.0,55.0,35.0,1:28.488,215.744,0.0,7.0,1979-10-17,Finnish,Ferrari,Italian,0.0,9.0,0.0,0.0,15.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Differential,Kimi Räikkönen,43.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,13,6,6,0.0,16,0.0,45.0,30.0,1:29.141,214.164,0.0,19.0,1981-04-25,Brazilian,Ferrari,Italian,0.0,9.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Suspension,Felipe Massa,42.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,12,4,14,0.0,17,0.0,24.0,17.0,1:30.502,210.943,4.0,0.0,1985-07-25,Brazilian,Renault,French,4.0,3.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Spun off,Nelson Piquet Jr.,38.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,6,3,11,0.0,18,0.0,17.0,6.0,1:29.923,212.301,3.0,0.0,1985-01-11,Japanese,Williams,British,3.0,4.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Accident,Kazuki Nakajima,38.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,5,1,12,0.0,19,0.0,0.0,0.0,\N,203.69010706057733,0.0,0.0,1981-10-19,Finnish,McLaren,British,0.0,0.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Collision,Heikki Kovalainen,41.0,0,1
1,2009,1,Australian Grand Prix,2009-03-29,1,1,18,0.0,20,0.0,58.0,39.0,1:29.020,214.455,0.0,44.0,1985-01-07,British,McLaren,British,0.0,0.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,Melbourne,Australia,Disqualified,Lewis Hamilton,38.0,0,1
2,2009,2,Malaysian Grand Prix,2009-04-05,18,23,1,1.0,1,5.0,31.0,18.0,1:36.641,206.483,7.0,22.0,1980-01-19,British,Mercedes,British,25.0,1.0,2.0,15.0,1.0,2.0,Sepang International Circuit,Kuala Lumpur,Malaysia,Finished,Jenson Button,43.0,0,1
